learner_id,session_id,task_id,day,question_id,concept_id,correct,source_turn,mastery_before
L001,L001_S01,L001_S01_Q01,1,Q0019,F7,0,L001_S01_T002,0.31113179
L001,L001_S01,L001_S01_Q02,1,Q0010,F4,0,L001_S01_T007,0.30457467
L001,L001_S01,L001_S01_Q03,1,Q0012,F4,0,L001_S01_T012,0.33983044
L001,L001_S01,L001_S01_Q04,1,Q0008,F3,0,L001_S01_T017,0.19660325
L001,L001_S01,L001_S01_Q05,1,Q0017,F6,0,L001_S01_T022,0.29684768
L001,L001_S02,L001_S02_Q01,3,Q0009,F3,0,L001_S02_T002,0.22730632
L001,L001_S02,L001_S02_Q02,3,Q0024,F8,0,L001_S02_T007,0.19801627
L001,L001_S02,L001_S02_Q03,3,Q0002,F1,0,L001_S02_T012,0.2589171
L001,L001_S02,L001_S02_Q04,3,Q0013,F5,0,L001_S02_T017,0.09538184
L001,L001_S02,L001_S02_Q05,3,Q0015,F5,0,L001_S02_T022,0.141243
L001,L001_S03,L001_S03_Q01,6,Q0015,F5,0,L001_S03_T002,0.17319428
L001,L001_S03,L001_S03_Q02,6,Q0001,F1,0,L001_S03_T007,0.27789903
L001,L001_S03,L001_S03_Q03,6,Q0020,F7,0,L001_S03_T012,0.31065586
L001,L001_S03,L001_S03_Q04,6,Q0004,F2,0,L001_S03_T017,0.25838068
L001,L001_S03,L001_S03_Q05,6,Q0004,F2,1,L001_S03_T022,0.29597834
L001,L001_S04,L001_S04_Q01,8,Q0013,F5,0,L001_S04_T002,0.20602291
L001,L001_S04,L001_S04_Q02,8,Q0022,F8,0,L001_S04_T007,0.21425933
L001,L001_S04,L001_S04_Q03,8,Q0018,F6,0,L001_S04_T012,0.28587312
L001,L001_S04,L001_S04_Q04,8,Q0015,F5,1,L001_S04_T017,0.24627494
L001,L001_S04,L001_S04_Q05,8,Q0008,F3,1,L001_S04_T022,0.23922018
L001,L001_S05,L001_S05_Q01,11,Q0004,F2,0,L001_S05_T002,0.42590439
L001,L001_S05,L001_S05_Q02,11,Q0022,F8,0,L001_S05_T007,0.23816318
L001,L001_S05,L001_S05_Q03,11,Q0007,F3,0,L001_S05_T012,0.40497666
L001,L001_S05,L001_S05_Q04,11,Q0023,F8,0,L001_S05_T017,0.2767858
L001,L001_S05,L001_S05_Q05,11,Q0019,F7,0,L001_S05_T022,0.31025028
L001,L001_S06,L001_S06_Q01,13,Q0001,F1,0,L001_S06_T002,0.27040736
L001,L001_S06,L001_S06_Q02,13,Q0010,F4,0,L001_S06_T007,0.28812363
L001,L001_S06,L001_S06_Q03,13,Q0021,F7,1,L001_S06_T012,0.33063402
L001,L001_S06,L001_S06_Q04,13,Q0005,F2,0,L001_S06_T017,0.43578656
L001,L001_S06,L001_S06_Q05,13,Q0002,F1,0,L001_S06_T022,0.30739531
L001,L001_S07,L001_S07_Q01,16,Q0013,F5,0,L001_S07_T002,0.36798143
L001,L001_S07,L001_S07_Q02,16,Q0018,F6,1,L001_S07_T007,0.27100326
L001,L001_S07,L001_S07_Q03,16,Q0011,F4,1,L001_S07_T012,0.30388659
L001,L001_S07,L001_S07_Q04,16,Q0008,F3,0,L001_S07_T017,0.39063004
L001,L001_S07,L001_S07_Q05,16,Q0023,F8,0,L001_S07_T022,0.28138636
L001,L001_S08,L001_S08_Q01,18,Q0023,F8,0,L001_S08_T002,0.30439099
L001,L001_S08,L001_S08_Q02,18,Q0014,F5,1,L001_S08_T007,0.38312309
L001,L001_S08,L001_S08_Q03,18,Q0016,F6,1,L001_S08_T012,0.43653628
L001,L001_S08,L001_S08_Q04,18,Q0016,F6,1,L001_S08_T017,0.57936507
L001,L001_S08,L001_S08_Q05,18,Q0001,F1,1,L001_S08_T022,0.30747165
L002,L002_S01,L002_S01_Q01,1,Q0013,F5,0,L002_S01_T002,0.30409036
L002,L002_S01,L002_S01_Q02,1,Q0019,F7,0,L002_S01_T007,0.19993164
L002,L002_S01,L002_S01_Q03,1,Q0005,F2,0,L002_S01_T012,0.11168108
L002,L002_S01,L002_S01_Q04,1,Q0002,F1,0,L002_S01_T017,0.19734991
L002,L002_S01,L002_S01_Q05,1,Q0024,F8,0,L002_S01_T022,0.31290394
L002,L002_S02,L002_S02_Q01,3,Q0010,F4,0,L002_S02_T002,0.11509684
L002,L002_S02,L002_S02_Q02,3,Q0006,F2,0,L002_S02_T007,0.15116532
L002,L002_S02,L002_S02_Q03,3,Q0023,F8,1,L002_S02_T012,0.33736066
L002,L002_S02,L002_S02_Q04,3,Q0021,F7,0,L002_S02_T017,0.23282525
L002,L002_S02,L002_S02_Q05,3,Q0017,F6,0,L002_S02_T022,0.2348238
L002,L002_S03,L002_S03_Q01,6,Q0017,F6,1,L002_S03_T002,0.26152745
L002,L002_S03,L002_S03_Q02,6,Q0010,F4,1,L002_S03_T007,0.15223957
L002,L002_S03,L002_S03_Q03,6,Q0003,F1,0,L002_S03_T012,0.22121594
L002,L002_S03,L002_S03_Q04,6,Q0009,F3,0,L002_S03_T017,0.32039749
L002,L002_S03,L002_S03_Q05,6,Q0009,F3,0,L002_S03_T022,0.35379623
L002,L002_S04,L002_S04_Q01,8,Q0006,F2,0,L002_S04_T002,0.18019042
L002,L002_S04,L002_S04_Q02,8,Q0011,F4,0,L002_S04_T007,0.35087037
L002,L002_S04,L002_S04_Q03,8,Q0005,F2,0,L002_S04_T012,0.22047958
L002,L002_S04,L002_S04_Q04,8,Q0004,F2,0,L002_S04_T017,0.25878874
L002,L002_S04,L002_S04_Q05,8,Q0015,F5,1,L002_S04_T022,0.30754544
L002,L002_S05,L002_S05_Q01,11,Q0001,F1,0,L002_S05_T002,0.24241601
L002,L002_S05,L002_S05_Q02,11,Q0011,F4,0,L002_S05_T007,0.36745582
L002,L002_S05,L002_S05_Q03,11,Q0018,F6,1,L002_S05_T012,0.41384082
L002,L002_S05,L002_S05_Q04,11,Q0016,F6,0,L002_S05_T017,0.55787339
L002,L002_S05,L002_S05_Q05,11,Q0009,F3,0,L002_S05_T022,0.36018636
L002,L002_S06,L002_S06_Q01,13,Q0019,F7,1,L002_S06_T002,0.23610038
L002,L002_S06,L002_S06_Q02,13,Q0005,F2,0,L002_S06_T007,0.27579172
L002,L002_S06,L002_S06_Q03,13,Q0014,F5,0,L002_S06_T012,0.44626741
L002,L002_S06,L002_S06_Q04,13,Q0007,F3,0,L002_S06_T017,0.38111199
L002,L002_S06,L002_S06_Q05,13,Q0021,F7,0,L002_S06_T022,0.4238078
L002,L002_S07,L002_S07_Q01,16,Q0010,F4,1,L002_S07_T002,0.37232009
L002,L002_S07,L002_S07_Q02,16,Q0024,F8,0,L002_S07_T007,0.4190657
L002,L002_S07,L002_S07_Q03,16,Q0002,F1,1,L002_S07_T012,0.26124791
L002,L002_S07,L002_S07_Q04,16,Q0021,F7,1,L002_S07_T017,0.43403377
L002,L002_S07,L002_S07_Q05,16,Q0006,F2,0,L002_S07_T022,0.29892333
L002,L002_S08,L002_S08_Q01,18,Q0024,F8,0,L002_S08_T002,0.43559417
L002,L002_S08,L002_S08_Q02,18,Q0015,F5,1,L002_S08_T007,0.442328
L002,L002_S08,L002_S08_Q03,18,Q0001,F1,0,L002_S08_T012,0.43088471
L002,L002_S08,L002_S08_Q04,18,Q0005,F2,0,L002_S08_T017,0.32442414
L002,L002_S08,L002_S08_Q05,18,Q0001,F1,1,L002_S08_T022,0.45885361
L003,L003_S01,L003_S01_Q01,1,Q0019,F7,0,L003_S01_T002,0.10250732
L003,L003_S01,L003_S01_Q02,1,Q0009,F3,0,L003_S01_T007,0.11226498
L003,L003_S01,L003_S01_Q03,1,Q0012,F4,0,L003_S01_T012,0.11563455
L003,L003_S01,L003_S01_Q04,1,Q0006,F2,1,L003_S01_T017,0.23260241
L003,L003_S01,L003_S01_Q05,1,Q0008,F3,0,L003_S01_T022,0.15746169
L003,L003_S02,L003_S02_Q01,3,Q0003,F1,0,L003_S02_T002,0.25109798
L003,L003_S02,L003_S02_Q02,3,Q0024,F8,1,L003_S02_T007,0.32841839
L003,L003_S02,L003_S02_Q03,3,Q0023,F8,0,L003_S02_T012,0.49937753
L003,L003_S02,L003_S02_Q04,3,Q0009,F3,1,L003_S02_T017,0.1952188
L003,L003_S02,L003_S02_Q05,3,Q0005,F2,1,L003_S02_T022,0.41697701
L003,L003_S03,L003_S03_Q01,6,Q0019,F7,0,L003_S03_T002,0.1388806
L003,L003_S03,L003_S03_Q02,6,Q0011,F4,1,L003_S03_T007,0.15055596
L003,L003_S03,L003_S03_Q03,6,Q0017,F6,0,L003_S03_T012,0.21072724
L003,L003_S03,L003_S03_Q04,6,Q0014,F5,0,L003_S03_T017,0.17960458
L003,L003_S03,L003_S03_Q05,6,Q0015,F5,0,L003_S03_T022,0.22137288
L003,L003_S04,L003_S04_Q01,8,Q0017,F6,0,L003_S04_T002,0.24447592
L003,L003_S04,L003_S04_Q02,8,Q0020,F7,0,L003_S04_T007,0.178036
L003,L003_S04,L003_S04_Q03,8,Q0010,F4,0,L003_S04_T012,0.35738504
L003,L003_S04,L003_S04_Q04,8,Q0019,F7,0,L003_S04_T017,0.21988415
L003,L003_S04,L003_S04_Q05,8,Q0003,F1,0,L003_S04_T022,0.27103718
L003,L003_S05,L003_S05_Q01,11,Q0015,F5,0,L003_S05_T002,0.24459966
L003,L003_S05,L003_S05_Q02,11,Q0020,F7,0,L003_S05_T007,0.24967908
L003,L003_S05,L003_S05_Q03,11,Q0021,F7,0,L003_S05_T012,0.28787971
L003,L003_S05,L003_S05_Q04,11,Q0009,F3,0,L003_S05_T017,0.36059388
L003,L003_S05,L003_S05_Q05,11,Q0017,F6,0,L003_S05_T022,0.27212671
L003,L003_S06,L003_S06_Q01,13,Q0014,F5,0,L003_S06_T002,0.27579933
L003,L003_S06,L003_S06_Q02,13,Q0022,F8,1,L003_S06_T007,0.46092462
L003,L003_S06,L003_S06_Q03,13,Q0010,F4,0,L003_S06_T012,0.36556893
L003,L003_S06,L003_S06_Q04,13,Q0016,F6,0,L003_S06_T017,0.30125488
