learner_id,day,concept_id,mastery
L001,10,F1,0.28849478
L001,10,F2,0.43519637
L001,10,F3,0.41381206
L001,10,F4,0.30739608
L001,10,F5,0.41885606
L001,10,F6,0.30847034
L001,10,F7,0.31701903
L001,10,F8,0.2433592
L001,20,F1,0.4626104
L001,20,F2,0.39927407
L001,20,F3,0.38665957
L001,20,F4,0.44061173
L001,20,F5,0.51669957
L001,20,F6,0.6570084
L001,20,F7,0.43015481
L001,20,F8,0.32530676
L002,10,F1,0.24573827
L002,10,F2,0.28728684
L002,10,F3,0.36512264
L002,10,F4,0.37249173
L002,10,F5,0.46486803
L002,10,F6,0.41951243
L002,10,F7,0.24594115
L002,10,F8,0.45472741
L002,20,F1,0.5759313
L002,20,F2,0.34802053
L002,20,F3,0.37412588
L002,20,F4,0.49865242
L002,20,F5,0.56380117
L002,20,F6,0.51277397
L002,20,F7,0.54273495
L002,20,F8,0.45088827
L003,10,F1,0.30024734
L003,10,F2,0.51624683
L003,10,F3,0.36530882
L003,10,F4,0.38009722
L003,10,F5,0.24779792
L003,10,F6,0.2756849
L003,10,F7,0.25294375
L003,10,F8,0.4792425
L003,20,F1,0.3317135
L003,20,F2,0.60342939
L003,20,F3,0.38029433
L003,20,F4,0.39439623
L003,20,F5,0.48604505
L003,20,F6,0.34149986
L003,20,F7,0.32202293
L003,20,F8,0.65516127
L004,10,F1,0.4149032
L004,10,F2,0.28571746
L004,10,F3,0.57907814
L004,10,F4,0.47379187
L004,10,F5,0.43133944
L004,10,F6,0.41691775
L004,10,F7,0.47361194
L004,10,F8,0.35862257
L004,20,F1,0.45905991
L004,20,F2,0.48655667
L004,20,F3,0.51952011
L004,20,F4,0.54019822
L004,20,F5,0.5123447
L004,20,F6,0.62785794
L004,20,F7,0.57335088
L004,20,F8,0.59696832
L005,10,F1,0.36196821
L005,10,F2,0.43554886
L005,10,F3,0.26780043
L005,10,F4,0.33868522
L005,10,F5,0.25010073
L005,10,F6,0.37869817
L005,10,F7,0.40292955
L005,10,F8,0.27056877
L005,20,F1,0.38265093
L005,20,F2,0.4443266
L005,20,F3,0.67121021
L005,20,F4,0.39903106
L005,20,F5,0.58968532
L005,20,F6,0.40162884
L005,20,F7,0.41815213
L005,20,F8,0.45462395
L006,10,F1,0.3621306
L006,10,F2,0.32327106
L006,10,F3,0.39156221
L006,10,F4,0.23724411
L006,10,F5,0.43495884
L006,10,F6,0.29693437
L006,10,F7,0.419458
L006,10,F8,0.3370233
L006,20,F1,0.44845867
L006,20,F2,0.32054275
L006,20,F3,0.45091183
L006,20,F4,0.48643579
L006,20,F5,0.40539896
L006,20,F6,0.32398969
L006,20,F7,0.39756011
L006,20,F8,0.42470615
L007,10,F1,0.64728332
L007,10,F2,0.30819969
L007,10,F3,0.37603601
L007,10,F4,0.59567935
L007,10,F5,0.24187794
L007,10,F6,0.56526677
L007,10,F7,0.50656766
L007,10,F8,0.27810151
L007,20,F1,0.77152994
L007,20,F2,0.53595111
L007,20,F3,0.53298531
L007,20,F4,0.71938053
L007,20,F5,0.36687957
L007,20,F6,0.73594745
L007,20,F7,0.60256005
L007,20,F8,0.3621348
L008,10,F1,0.32435725
L008,10,F2,0.44498797
L008,10,F3,0.54192244
L008,10,F4,0.31685088
L008,10,F5,0.59139552
L008,10,F6,0.29607946
L008,10,F7,0.2563521
L008,10,F8,0.30479713
L008,20,F1,0.48822354
L008,20,F2,0.5431204
L008,20,F3,0.48507767
L008,20,F4,0.58969642
L008,20,F5,0.68465444
L008,20,F6,0.34461618
L008,20,F7,0.53672102
L008,20,F8,0.55507201
L009,10,F1,0.24392122
L009,10,F2,0.32730824
L009,10,F3,0.38717119
L009,10,F4,0.25958336
L009,10,F5,0.24574627
L009,10,F6,0.43159689
L009,10,F7,0.46945784
L009,10,F8,0.32607636
L009,20,F1,0.35530702
L009,20,F2,0.48655309
L009,20,F3,0.5813115
L009,20,F4,0.32746955
L009,20,F5,0.31316848
L009,20,F6,0.55528861
L009,20,F7,0.63167513
L009,20,F8,0.3478473
L010,10,F1,0.20524665
L010,10,F2,0.35608215
L010,10,F3,0.29903264
L010,10,F4,0.54039779
L010,10,F5,0.27423564
L010,10,F6,0.23052647
L010,10,F7,0.26457376
L010,10,F8,0.27159523
L010,20,F1,0.31207046
L010,20,F2,0.34776227
L010,20,F3,0.30341408
L010,20,F4,0.6461179
L010,20,F5,0.29522244
L010,20,F6,0.44105925
L010,20,F7,0.31918857
L010,20,F8,0.49696349
L011,10,F1,0.28033452
L011,10,F2,0.39309383
L011,10,F3,0.31817939
L011,10,F4,0.23562882
L011,10,F5,0.41590346
L011,10,F6,0.28261176
L011,10,F7,0.31122215
L011,10,F8,0.28658122
L011,20,F1,0.42940848
L011,20,F2,0.44370146
L011,20,F3,0.39429183
L011,20,F4,0.39883666
L011,20,F5,0.45874548
L011,20,F6,0.28503726
