learner_id,learning_rate,forgetting_rate
L001,0.25348356,0.02158248
L002,0.24572262,0.01361174
L003,0.25456197,0.01299074
L004,0.29558423,0.02186197
L005,0.26373528,0.01165806
L006,0.19214847,0.01773641
L007,0.29880348,0.01251332
L008,0.28515807,0.02154926
L009,0.28120655,0.01740997
L010,0.26399735,0.02136241
L011,0.18297405,0.01768359
L012,0.23471091,0.01927368
L013,0.28012364,0.00984674
L014,0.27880997,0.01988149
L015,0.25177131,0.01951847
L016,0.26296465,0.01169366
L017,0.27801081,0.01893625
L018,0.2076834,0.01298325
L019,0.27805118,0.02051213
L020,0.20539079,0.01694805
L021,0.19054809,0.01788649
L022,0.22504424,0.01344755
L023,0.28957141,0.01360422
L024,0.24408913,0.01761415
L025,0.27963421,0.01396349
L026,0.28547193,0.01609321
L027,0.27008136,0.0203511
L028,0.21213892,0.0082416
L029,0.28589832,0.0110869
L030,0.27477036,0.00801055
L031,0.24917302,0.02185552
L032,0.25776933,0.01201678
L033,0.20504077,0.020202
L034,0.27944055,0.01746945
L035,0.18720563,0.01500165
L036,0.20211906,0.01633062
L037,0.23487881,0.01286119
L038,0.23922894,0.00917401
L039,0.23347783,0.0207748
L040,0.25160913,0.01784388
L041,0.26739047,0.01734667
L042,0.22693274,0.01431839
L043,0.29832164,0.01116475
L044,0.28596375,0.01542574
L045,0.29192904,0.01293704
L046,0.29634619,0.01387048
L047,0.20659192,0.02151919
L048,0.20466523,0.01976745
L049,0.29842436,0.01194055
L050,0.18225798,0.01136492
L051,0.2176237,0.01299963
L052,0.24946679,0.01186533
L053,0.18724273,0.01606237
L054,0.1948285,0.01549207
L055,0.29717636,0.01997008
L056,0.25524257,0.0179196
L057,0.22849215,0.0193213
L058,0.19801595,0.02118431
L059,0.1985305,0.01103045
L060,0.20614225,0.01983375
L061,0.29384614,0.01303767
L062,0.2530943,0.0217101
L063,0.18652505,0.01651275
L064,0.26796155,0.01820411
L065,0.24450172,0.01286891
L066,0.18205301,0.01306062
L067,0.22034303,0.02022158
L068,0.28900652,0.00830072
L069,0.27179019,0.01273768
L070,0.23411399,0.02115705
L071,0.18436939,0.01818907
L072,0.19333086,0.01409648
L073,0.29168852,0.02126777
L074,0.28760958,0.01751223
L075,0.2728852,0.00979388
L076,0.21864281,0.01136539
L077,0.28554329,0.01777465
L078,0.2213037,0.01695965
L079,0.23116307,0.01220955
L080,0.19458829,0.01768054
L081,0.24655291,0.02117626
L082,0.27497248,0.01571551
L083,0.28401447,0.01137619
L084,0.20905453,0.01724702
L085,0.24161088,0.02068377
L086,0.22384428,0.01381909
L087,0.18401404,0.01877899
L088,0.25685423,0.00847306
L089,0.19079159,0.01332515
L090,0.21875487,0.00868129
L091,0.18423982,0.00957198
L092,0.18637364,0.01228978
L093,0.29892043,0.01189192
L094,0.26778974,0.01882235
L095,0.190515,0.01852579
L096,0.28418987,0.01456556
L097,0.29481699,0.01700675
L098,0.22008762,0.01658847
L099,0.23871821,0.0155033
L100,0.28969678,0.01499895
L101,0.2984511,0.00908152
L102,0.24328456,0.00979059
L103,0.25643451,0.01497949
L104,0.2346467,0.01733388
L105,0.18841624,0.0169268
L106,0.23693738,0.01645798
L107,0.24306303,0.0101165
L108,0.28991397,0.01261585
L109,0.25238896,0.01277211
L110,0.18662478,0.01118272
L111,0.2039236,0.01063939
L112,0.20369888,0.00890248
L113,0.26936428,0.01843792
L114,0.19348159,0.01044412
L115,0.27905412,0.01223369
L116,0.21592968,0.01675904
L117,0.18495144,0.00960836
L118,0.22166893,0.01541822
L119,0.19411666,0.02094924
L120,0.22479447,0.00893378
L121,0.29277196,0.01428317
L122,0.24776049,0.01712998
L123,0.21120487,0.01824513
L124,0.27249849,0.01250266
L125,0.26752436,0.00907561
L126,0.28650691,0.00879399
L127,0.27508991,0.01562088
L128,0.27465009,0.01104197
L129,0.26706956,0.02110107
L130,0.18014339,0.02127866
L131,0.24430156,0.02006402
L132,0.25130375,0.01127143
L133,0.29012691,0.01638777
L134,0.26499748,0.01217105
L135,0.27714276,0.02013077
L136,0.23131714,0.01445297
L137,0.19330239,0.01451103
L138,0.1842725,0.01529417
L139,0.24971073,0.01476577
L140,0.19423533,0.0111403
L141,0.27280847,0.00924227
L142,0.27016071,0.01245803
L143,0.27583036,0.01688784
L144,0.2357345,0.01566368
L145,0.26614832,0.00918694
L146,0.19413319,0.01762492
L147,0.18986323,0.01809489
L148,0.20866054,0.01580475
L149,0.24550576,0.01871428
L150,0.23079347,0.01100182
L151,0.28638464,0.0202218
L152,0.20657632,0.01923249
L153,0.20600184,0.01049472
L154,0.27670943,0.01635796
L155,0.23051828,0.01309183
L156,0.18192535,0.0209655
L157,0.23612778,0.01074057
L158,0.27837736,0.01150713
L159,0.21682329,0.01910486
L160,0.25762665,0.01499611
L161,0.28154364,0.02174929
L162,0.2113799,0.01342701
L163,0.29290658,0.00998516
L164,0.1828676,0.01954268
L165,0.20470758,0.01808555
L166,0.27958262,0.02007742
L167,0.21901041,0.01498852
L168,0.29460073,0.01854449
L169,0.2144921,0.01086522
L170,0.27324334,0.01317941
L171,0.26173345,0.02188523
L172,0.26510994,0.01162987
L173,0.19157924,0.02051354
L174,0.2562748,0.01272842
L175,0.23808967,0.01216259
L176,0.24880244,0.02046907
L177,0.26913179,0.01131089
L178,0.24491213,0.01559971
L179,0.29940824,0.00867444
L180,0.28711867,0.01760001
L181,0.27612726,0.00829172
L182,0.27801576,0.0165344
L183,0.27376941,0.01178373
L184,0.19430201,0.01356304
L185,0.25048595,0.01178278
L186,0.28658284,0.01228662
L187,0.29139023,0.02075054
L188,0.20920969,0.0106682
L189,0.19086885,0.0102462
L190,0.28583944,0.01154901
L191,0.2770709,0.01307016
L192,0.18745781,0.01403901
L193,0.19145875,0.02065049
L194,0.22940891,0.01670428
L195,0.25695891,0.01781689
L196,0.2594993,0.01755536
L197,0.2539993,0.01716831
L198,0.28566728,0.02015567
L199,0.25601876,0.01928937
L200,0.25036827,0.01793735
L201,0.28449015,0.00851462
L202,0.2884956,0.01741572
L203,0.22144975,0.01210128
L204,0.18183237,0.02115057
L205,0.21953035,0.00981933
L206,0.18874902,0.0082214
L207,0.28873294,0.01481117
L208,0.26248734,0.02060638
L209,0.22591883,0.01830017
L210,0.23553436,0.01682751
L211,0.19859417,0.01979187
L212,0.21657268,0.01380648
L213,0.19028929,0.01244785
L214,0.19097185,0.00897001
L215,0.23505872,0.01039441
L216,0.26309531,0.00994188
L217,0.26023671,0.01655553
L218,0.26863093,0.00921218
L219,0.24458305,0.01390485
L220,0.24467072,0.01768515
L221,0.24510961,0.01410907
L222,0.24929219,0.01792213
L223,0.21999783,0.01872172
L224,0.28942628,0.019379
L225,0.22143422,0.01052229
L226,0.25685589,0.0141061
L227,0.19625503,0.02035115
L228,0.1897621,0.02190027
L229,0.21866104,0.02052919
L230,0.23084017,0.02087212
L231,0.29725996,0.01535496
L232,0.20193105,0.01257375
L233,0.23557729,0.0158008
L234,0.24945648,0.01154614
L235,0.20544868,0.01203104
L236,0.29406905,0.0146702
L237,0.27315997,0.01633996
L238,0.18985363,0.01304324
L239,0.26313256,0.01522845
L240,0.24546573,0.01590876
