learner_id,split
L001,train
L002,test
L003,train
L004,train
L005,test
L006,train
L007,validation
L008,validation
L009,train
L010,train
L011,train
L012,train
L013,test
L014,train
L015,train
L016,validation
L017,train
L018,validation
L019,test
L020,train
L021,train
L022,test
L023,train
L024,train
L025,test
L026,train
L027,train
L028,validation
L029,train
L030,validation
L031,test
L032,validation
L033,train
L034,train
L035,test
L036,validation
L037,test
L038,validation
L039,test
L040,train
L041,validation
L042,train
L043,train
L044,validation
L045,train
L046,validation
L047,train
L048,train
L049,train
L050,train
L051,validation
L052,train
L053,train
L054,test
L055,train
L056,train
L057,test
L058,train
L059,validation
L060,train
L061,validation
L062,train
L063,train
L064,validation
L065,train
L066,test
L067,train
L068,train
L069,test
L070,test
L071,validation
L072,train
L073,train
L074,train
L075,train
L076,test
L077,validation
L078,validation
L079,test
L080,train
L081,train
L082,test
L083,validation
L084,train
L085,train
L086,test
L087,train
L088,validation
L089,test
L090,train
L091,test
L092,validation
L093,validation
L094,test
L095,test
L096,test
L097,validation
L098,train
L099,test
L100,validation
L101,train
L102,test
L103,train
L104,train
L105,train
L106,train
L107,validation
L108,validation
L109,train
L110,train
L111,test
L112,train
L113,train
L114,train
L115,train
L116,train
L117,train
L118,train
L119,validation
L120,train
L121,train
L122,test
L123,validation
L124,validation
L125,train
L126,test
L127,train
L128,test
L129,train
L130,train
L131,train
L132,train
L133,train
L134,test
L135,train
L136,train
L137,validation
L138,train
L139,train
L140,train
L141,train
L142,train
L143,test
L144,train
L145,train
L146,train
L147,validation
L148,train
L149,train
L150,validation
L151,train
L152,test
L153,train
L154,test
L155,train
L156,validation
L157,train
L158,validation
L159,validation
L160,train
L161,train
L162,train
L163,train
L164,test
L165,test
L166,train
L167,validation
L168,train
L169,train
L170,train
L171,test
L172,test
L173,train
L174,validation
L175,train
L176,train
L177,validation
L178,train
L179,train
L180,train
L181,train
L182,train
L183,train
L184,train
L185,test
L186,train
L187,test
L188,train
L189,train
L190,train
L191,train
L192,train
L193,test
L194,validation
L195,train
L196,train
L197,validation
L198,train
L199,train
L200,train
L201,train
L202,validation
L203,train
L204,train
L205,train
L206,test
L207,train
L208,test
L209,train
L210,validation
L211,test
L212,test
L213,train
L214,train
L215,train
L216,train
L217,train
L218,train
L219,train
L220,train
L221,train
L222,train
L223,train
L224,train
L225,validation
L226,train
L227,train
L228,train
L229,validation
L230,validation
L231,train
L232,train
L233,train
L234,validation
L235,test
L236,test
L237,validation
L238,train
L239,test
L240,train
