system,learner_id,day,predictions,mae,rmse
Pure-LLM,L002,10,8,0.5305389375,0.536396837687355
Pure-LLM,L005,10,8,0.5242125074999999,0.530024442799921
Pure-LLM,L013,10,8,0.5474851775,0.5546850471270819
Pure-LLM,L019,10,8,0.46327168375,0.47188400284398146
Pure-LLM,L022,10,8,0.5376201,0.542762234042728
Pure-LLM,L025,10,8,0.386234785,0.39571420694048975
Pure-LLM,L031,10,8,0.50854358625,0.5147700132704869
Pure-LLM,L035,10,8,0.64994037,0.6536369662931689
Pure-LLM,L037,10,8,0.44343338875000005,0.44814331972896754
Pure-LLM,L039,10,8,0.47203889625,0.4905642947612925
Pure-LLM,L054,10,8,0.5550684987499999,0.5620694101539766
Pure-LLM,L057,10,8,0.52664448125,0.5306861835614818
Pure-LLM,L066,10,8,0.54108586125,0.5468801263415484
Pure-LLM,L069,10,8,0.45090364,0.4669913821258537
Pure-LLM,L070,10,8,0.4647824,0.4723009854793491
Pure-LLM,L076,10,8,0.47558680375,0.4851372406936978
Pure-LLM,L079,10,8,0.511782615,0.5189920957856224
Pure-LLM,L082,10,8,0.635275055,0.6402888547560408
Pure-LLM,L086,10,8,0.5191310562499999,0.5221011595985379
Pure-LLM,L089,10,8,0.5708336387499999,0.5763660118713674
Pure-LLM,L091,10,8,0.590058975,0.5958201030129586
Pure-LLM,L094,10,8,0.49589651250000005,0.507099546333344
Pure-LLM,L095,10,8,0.5478284525,0.5530571837153493
Pure-LLM,L096,10,8,0.47622769499999984,0.486796336300343
Pure-LLM,L099,10,8,0.5552059325,0.5627343154794439
Pure-LLM,L102,10,8,0.55344674875,0.561831582884457
Pure-LLM,L111,10,8,0.53838180125,0.5483833245419252
Pure-LLM,L122,10,8,0.5040616324999999,0.5119881804797856
Pure-LLM,L126,10,8,0.5301320475,0.5362292572855237
Pure-LLM,L128,10,8,0.5413363037500001,0.5559658818311703
Pure-LLM,L134,10,8,0.5227162375,0.5390446611133048
Pure-LLM,L143,10,8,0.46160801625000003,0.46869016034086863
Pure-LLM,L152,10,8,0.51944475625,0.5273899502686338
Pure-LLM,L154,10,8,0.54812365,0.5630276754005712
Pure-LLM,L164,10,8,0.48139371499999994,0.4922626087926353
Pure-LLM,L165,10,8,0.5804241637499999,0.5868623605023765
