system,learner_id,day,predictions,mae,rmse
original-mini,L002,10,8,0.5305389375,0.536396837687355
original-mini,L005,10,8,0.5242125074999999,0.530024442799921
original-mini,L013,10,8,0.5474851775,0.5546850471270819
original-mini,L019,10,8,0.46327168375,0.47188400284398146
original-mini,L022,10,8,0.5376201,0.542762234042728
original-mini,L025,10,8,0.386234785,0.39571420694048975
original-mini,L031,10,8,0.50854358625,0.5147700132704869
original-mini,L035,10,8,0.64994037,0.6536369662931689
original-mini,L037,10,8,0.44343338875000005,0.44814331972896754
original-mini,L039,10,8,0.47203889625,0.4905642947612925
original-mini,L054,10,8,0.5550684987499999,0.5620694101539766
original-mini,L057,10,8,0.52664448125,0.5306861835614818
original-mini,L066,10,8,0.54108586125,0.5468801263415484
original-mini,L069,10,8,0.45090364,0.4669913821258537
original-mini,L070,10,8,0.4647824,0.4723009854793491
original-mini,L076,10,8,0.47558680375,0.4851372406936978
original-mini,L079,10,8,0.511782615,0.5189920957856224
original-mini,L082,10,8,0.635275055,0.6402888547560408
original-mini,L086,10,8,0.5191310562499999,0.5221011595985379
original-mini,L089,10,8,0.5708336387499999,0.5763660118713674
original-mini,L091,10,8,0.590058975,0.5958201030129586
original-mini,L094,10,8,0.49589651250000005,0.507099546333344
original-mini,L095,10,8,0.5478284525,0.5530571837153493
original-mini,L096,10,8,0.47622769499999984,0.486796336300343
original-mini,L099,10,8,0.5552059325,0.5627343154794439
original-mini,L102,10,8,0.55344674875,0.561831582884457
original-mini,L111,10,8,0.53838180125,0.5483833245419252
original-mini,L122,10,8,0.5040616324999999,0.5119881804797856
original-mini,L126,10,8,0.5301320475,0.5362292572855237
original-mini,L128,10,8,0.5413363037500001,0.5559658818311703
original-mini,L134,10,8,0.5227162375,0.5390446611133048
original-mini,L143,10,8,0.46160801625000003,0.46869016034086863
original-mini,L152,10,8,0.51944475625,0.5273899502686338
original-mini,L154,10,8,0.54812365,0.5630276754005712
original-mini,L164,10,8,0.48139371499999994,0.4922626087926353
original-mini,L165,10,8,0.5804241637499999,0.5868623605023765
original-mini,L171,10,8,0.51111225375,0.5249074083566442
original-mini,L172,10,8,0.50423454875,0.5060057406556756
original-mini,L185,10,8,0.46692860999999997,0.484034277852037
original-mini,L187,10,8,0.5054054637500001,0.518554030451002
original-mini,L193,10,8,0.5695188800000001,0.5743330182213152
original-mini,L206,10,8,0.54441237375,0.5539086286890091
original-mini,L208,10,8,0.49135931499999996,0.49889157467640616
original-mini,L211,10,8,0.52370879375,0.5364399978338915
original-mini,L212,10,8,0.52721887,0.5348216644146483
original-mini,L235,10,8,0.4729515912500001,0.48605812449522257
original-mini,L236,10,8,0.48023798625,0.48584250428741227
original-mini,L239,10,8,0.53055107875,0.5405980912072036
original-mini,L002,20,8,0.43538393875000003,0.4404384175535819
original-mini,L005,20,8,0.42983636999999997,0.43914307634738764
original-mini,L013,20,8,0.36996869625000006,0.3835625127803157
original-mini,L019,20,8,0.35046377749999996,0.3585791067443661
original-mini,L022,20,8,0.45627304125,0.4706161316619815
original-mini,L025,20,8,0.21230662624999996,0.21981301652025606
original-mini,L031,20,8,0.4635271025,0.4763813945856569
original-mini,L035,20,8,0.57384994375,0.5788445012372109
original-mini,L037,20,8,0.33759772624999995,0.35697865736547296
original-mini,L039,20,8,0.41862885125000004,0.42701965420916166
original-mini,L054,20,8,0.4926506500000001,0.5043181529670437
original-mini,L057,20,8,0.41706133375,0.4280648475341127
original-mini,L066,20,8,0.48593253875,0.48791274782140404
original-mini,L069,20,8,0.32678635749999996,0.3357564840005518
original-mini,L070,20,8,0.34293529750000007,0.3573892276720206
original-mini,L076,20,8,0.41400515625,0.41918679540604425
original-mini,L079,20,8,0.46049609750000003,0.47245273692575446
original-mini,L082,20,8,0.3949110325,0.40325117016739825
original-mini,L086,20,8,0.46577765250000003,0.4701781617810554
original-mini,L089,20,8,0.48561015,0.4884223825391145
original-mini,L091,20,8,0.47129897625000006,0.4758274667892907
original-mini,L094,20,8,0.42736124499999995,0.43557935234333367
original-mini,L095,20,8,0.500788125,0.5052098364545923
original-mini,L096,20,8,0.26887101625,0.27206175348579376
original-mini,L099,20,8,0.416469885,0.42868500415774385
original-mini,L102,20,8,0.4560438500000001,0.4664046845534503
original-mini,L111,20,8,0.38210106374999997,0.40086462033536757
original-mini,L122,20,8,0.41186935249999995,0.42247137686614356
original-mini,L126,20,8,0.385088895,0.39564202958436606
original-mini,L128,20,8,0.4242643037499999,0.4514464393458764
original-mini,L134,20,8,0.381755315,0.41062808241405013
original-mini,L143,20,8,0.36923376124999996,0.3795023256274065
original-mini,L152,20,8,0.52310322875,0.5297354452385437
original-mini,L154,20,8,0.33904564000000004,0.34869356208212876
original-mini,L164,20,8,0.42808640124999997,0.43155888115771246
original-mini,L165,20,8,0.508784235,0.5178830294791609
original-mini,L171,20,8,0.3988120075,0.4073513705544362
original-mini,L172,20,8,0.3534663375,0.3593387420741837
original-mini,L185,20,8,0.36864708625,0.370934682888855
original-mini,L187,20,8,0.41067476375,0.42336565726875347
original-mini,L193,20,8,0.5108165487499999,0.5172001408745504
original-mini,L206,20,8,0.4296993875,0.4420331845647487
original-mini,L208,20,8,0.3710894025,0.38110537456322086
original-mini,L211,20,8,0.4591476825,0.465002270307256
original-mini,L212,20,8,0.38486637875,0.3929497014877902
original-mini,L235,20,8,0.5024450825,0.5178286199483894
original-mini,L236,20,8,0.28828207375000003,0.2938341957019312
original-mini,L239,20,8,0.38742529375,0.40577271312986535
original-mini,L002,all,16,0.482961438125,0.4907685641614069
original-mini,L005,all,16,0.47702443875,0.486709642122084
original-mini,L013,all,16,0.45872693687499994,0.4768625078136899
original-mini,L019,all,16,0.40686773062500003,0.4190784460776086
original-mini,L022,all,16,0.49694657062500014,0.5079716459033617
original-mini,L025,all,16,0.299270705625,0.32008397008150463
original-mini,L031,all,16,0.48603534437499996,0.49594727525709453
original-mini,L035,all,16,0.6118951568750001,0.6173743760140571
original-mini,L037,all,16,0.3905155575,0.4051334328540137
original-mini,L039,all,16,0.44533387375000005,0.45989080898380447
original-mini,L054,all,16,0.523859574375,0.5339751029977566
original-mini,L057,all,16,0.47185290750000003,0.48211375167975346
original-mini,L066,all,16,0.5135092000000001,0.5182358160499817
original-mini,L069,all,16,0.38884499875,0.4067022052609427
original-mini,L070,all,16,0.40385884875,0.41880501485820804
original-mini,L076,all,16,0.4447959800000001,0.4533628302754228
original-mini,L079,all,16,0.48613935625000004,0.4962682662212993
original-mini,L082,all,16,0.5150930437500001,0.535061362726827
original-mini,L086,all,16,0.4924543543749999,0.4968184400110116
original-mini,L089,all,16,0.528221894375,0.5342069839517686
original-mini,L091,all,16,0.5306789756250001,0.5391722235545364
original-mini,L094,all,16,0.46162887875,0.4726940459109472
original-mini,L095,all,16,0.52430828875,0.5296740636040382
original-mini,L096,all,16,0.37254935562499986,0.39432744689230137
original-mini,L099,all,16,0.48583790875,0.5002203227618022
original-mini,L102,all,16,0.504745299375,0.5163274432469467
original-mini,L111,all,16,0.4602414325,0.4803210980543499
original-mini,L122,all,16,0.45796549249999996,0.4693687043371004
original-mini,L126,all,16,0.4576104712500001,0.4712082511706585
original-mini,L128,all,16,0.48280030375000005,0.5064098880148279
original-mini,L134,all,16,0.45223577624999994,0.47915789085738614
original-mini,L143,all,16,0.4154208887500001,0.42643433348931886
original-mini,L152,all,16,0.5212739925,0.5285639987676185
original-mini,L154,all,16,0.44358464499999994,0.46828803289455007
original-mini,L164,all,16,0.454740058125,0.46290687180113654
original-mini,L165,all,16,0.544604199375,0.5534483997614117
original-mini,L171,all,16,0.454962130625,0.46982067134187827
original-mini,L172,all,16,0.42885044312500004,0.43884287685455
original-mini,L185,all,16,0.4177878481249999,0.43120860445125536
original-mini,L187,all,16,0.45804011375,0.4733586178847821
original-mini,L193,all,16,0.5401677143750001,0.5465136784838328
original-mini,L206,all,16,0.487055880625,0.5011028363482848
original-mini,L208,all,16,0.43122435875000004,0.4439223523343227
original-mini,L211,all,16,0.49142823812500014,0.5019935172225474
original-mini,L212,all,16,0.45604262437500004,0.4692779989657506
original-mini,L235,all,16,0.48769833687499997,0.5021946734213072
original-mini,L236,all,16,0.38426003000000003,0.40148566197067675
original-mini,L239,all,16,0.45898818624999993,0.47796327836856045
improved-mini,L002,10,8,0.4680389375,0.480066997387859
improved-mini,L005,10,8,0.39921250750000004,0.4201881616792253
improved-mini,L013,10,8,0.4412351775,0.44787024279513477
improved-mini,L019,10,8,0.36569500125,0.3854519971929821
improved-mini,L022,10,8,0.4438701,0.44758295692313066
improved-mini,L025,10,8,0.30498478500000004,0.32282687941765437
improved-mini,L031,10,8,0.52104358625,0.5290151202352322
improved-mini,L035,10,8,0.6311903700000001,0.632553696400501
improved-mini,L037,10,8,0.33718338875000003,0.3504422333177034
improved-mini,L039,10,8,0.42828889625000005,0.44778089694586604
improved-mini,L054,10,8,0.5050684987499999,0.5111605616935243
improved-mini,L057,10,8,0.48289448125,0.48514157771010596
improved-mini,L066,10,8,0.51608586125,0.5224862331558103
improved-mini,L069,10,8,0.41224031,0.45062108595228334
improved-mini,L070,10,8,0.4460324,0.4502857869006797
improved-mini,L076,10,8,0.34508656874999993,0.37841326193448194
improved-mini,L079,10,8,0.474282615,0.48311976567715864
improved-mini,L082,10,8,0.485275055,0.4905052854198438
improved-mini,L086,10,8,0.48788105624999994,0.49295486188305104
improved-mini,L089,10,8,0.5583336387500001,0.5629662015969565
improved-mini,L091,10,8,0.496308975,0.511152685265736
improved-mini,L094,10,8,0.5333965125,0.5412966078237359
improved-mini,L095,10,8,0.44782845250000003,0.4502228454711663
